nohup: 忽略输入
[I 2025-09-28 20:20:01,717] Trial 71 finished with value: 1.9753326177597046 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 244}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:05,342] Trial 72 finished with value: 1.9159119129180908 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 241}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:09,605] Trial 73 finished with value: 1.8846608400344849 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 213}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:13,129] Trial 74 finished with value: 1.9298943281173706 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.5, 'hidden_dim': 231}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:17,116] Trial 75 finished with value: 1.9719847440719604 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 251}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:20,417] Trial 76 finished with value: 1.9529973268508911 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 240}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:23,166] Trial 77 finished with value: 1.959773302078247 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 222}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:27,768] Trial 78 finished with value: 1.9702651500701904 and parameters: {'out_channels1': 12, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 236}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:31,662] Trial 79 finished with value: 1.9666688442230225 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 201}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:20:36,509] Trial 80 finished with value: 1.9466363191604614 and parameters: {'out_channels1': 9, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 185}. Best is trial 43 with value: 1.9781925678253174.
