nohup: 忽略输入
[I 2025-09-25 21:00:49,429] Trial 89 finished with value: 1.9729221641031194 and parameters: {'hidden_size_1': 218, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:50,891] Trial 90 finished with value: 1.974564493217747 and parameters: {'hidden_size_1': 204, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:51,959] Trial 91 finished with value: 1.9700434271593927 and parameters: {'hidden_size_1': 239, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:53,171] Trial 92 finished with value: 1.9767419967909847 and parameters: {'hidden_size_1': 228, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:54,239] Trial 93 finished with value: 1.9722360116927695 and parameters: {'hidden_size_1': 216, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:55,471] Trial 94 finished with value: 1.975527481983963 and parameters: {'hidden_size_1': 208, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:56,907] Trial 95 finished with value: 1.9769654647023103 and parameters: {'hidden_size_1': 236, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:58,533] Trial 96 finished with value: 1.9769701818942529 and parameters: {'hidden_size_1': 174, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:59,811] Trial 97 finished with value: 1.9787383884984728 and parameters: {'hidden_size_1': 200, 'dropout_rate': 0.4, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:00,948] Trial 98 finished with value: 1.982312649784058 and parameters: {'hidden_size_1': 223, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:02,475] Trial 99 finished with value: 1.9746040378210976 and parameters: {'hidden_size_1': 221, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:03,688] Trial 100 finished with value: 1.9682610741633229 and parameters: {'hidden_size_1': 251, 'dropout_rate': 0.2, 'J': 2, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:04,874] Trial 101 finished with value: 1.9819080916651863 and parameters: {'hidden_size_1': 224, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:06,075] Trial 102 finished with value: 1.9735411837448262 and parameters: {'hidden_size_1': 226, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:07,043] Trial 103 finished with value: 1.9755779702958685 and parameters: {'hidden_size_1': 191, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:08,040] Trial 104 finished with value: 1.9663474573025068 and parameters: {'hidden_size_1': 211, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:09,099] Trial 105 finished with value: 1.9793183204034146 and parameters: {'hidden_size_1': 205, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:09,947] Trial 106 finished with value: 1.9722360116927695 and parameters: {'hidden_size_1': 216, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:10,650] Trial 107 finished with value: 1.972284562099997 and parameters: {'hidden_size_1': 223, 'dropout_rate': 0.2, 'J': 1, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:11,551] Trial 108 finished with value: 1.981532961135459 and parameters: {'hidden_size_1': 207, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:12,704] Trial 109 finished with value: 1.9598276715424345 and parameters: {'hidden_size_1': 230, 'dropout_rate': 0.4, 'J': 3, 'Q': 4}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:13,907] Trial 110 finished with value: 1.9764810212912023 and parameters: {'hidden_size_1': 246, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:14,983] Trial 111 finished with value: 1.9751197079872655 and parameters: {'hidden_size_1': 196, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:16,169] Trial 112 finished with value: 1.9809171467420887 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:01:17,351] Trial 113 finished with value: 1.9749921679489826 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.5, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
